PlayerID,Player,Team,G,GS,QS,CG,SHO,IP,W,L,H,HR,ER,BB,K,HLD,SV,BS,ERA,WHIP,K/9,BB/9,K/BB,HR/9
18182,Jean Cabrera,PHI,0,0,0,0,0,1,0,0,1.13,0,0.72,0.63,0.73,0,0,0,6.44,1.76,6.61,5.65,1.17,0.00
14672,Edward Cabrera,CHC,24,24,7,0,0,135,9,9,114,17,62,60,150,0,0,0,4.13,1.29,10.00,4.00,2.50,1.13
15331,Genesis Cabrera,PHI,28,0,0,0,0,28,0,2,26,4,14,11,24,0,0,1,4.50,1.32,7.71,3.54,2.18,1.29
19131,Kelvin Caceres,LAA,0,0,0,0,0,1,0,0,1.14,0,0.7,0.83,0.99,0,0,0,6.27,1.97,8.93,7.48,1.19,0.00
18261,Blair Calvo,FA,0,0,0,0,0,1,0,0,1,0,0.6,0.48,0.95,0,0,0,5.44,1.48,8.52,4.33,1.97,0.00
15844,Daniel Camarena,FA,0,0,0,0,0,1,0,0,1.21,0,0.79,0.48,0.8,0,0,0,7.13,1.69,7.19,4.33,1.66,0.00
18727,Noah Cameron,KC,25,25,12,0,0,144,8,8,135,23,67,51,125,0,0,0,4.19,1.29,7.81,3.19,2.45,1.44
19507,Cam Caminiti,ATL,0,0,0,0,0,1,0,0,1.11,0,0.65,0.61,0.9,0,0,0,5.87,1.72,8.14,5.52,1.48,0.00
16080,Isaiah Campbell,ARI,20,0,0,0,0,20,2,2,19,3,11,7,16,0,0,1,4.95,1.30,7.20,3.15,2.29,1.35
16649,Paul Campbell,MIA,0,0,0,0,0,1,0,0,1.01,0,0.62,0.43,0.8,0,0,0,5.55,1.43,7.24,3.86,1.87,0.00
18713,Chris Campos,LAD,0,0,0,0,0,1,0,0,1.13,0,0.68,0.41,0.72,0,0,0,6.16,1.54,6.45,3.68,1.75,0.00
19701,Clark Candiotti,SD,0,0,0,0,0,1,0,0,1.31,0,1.1,1.1,0.98,0,0,0,9.92,2.41,8.79,9.92,0.89,0.00
14783,Griffin Canning,SD,15,15,4,0,0,85,5,4,81,13,41,33,77,0,0,0,4.34,1.34,8.15,3.49,2.33,1.38
17387,Jonathan Cannon,CWS,33,17,4,0,0,112,3,8,119,19,65,39,88,0,0,0,5.22,1.41,7.07,3.13,2.26,1.53
16308,Yennier Cano,BAL,52,0,0,0,0,50,3,4,46,6,21,18,46,18,3,4,3.78,1.28,8.28,3.24,2.56,1.08
15683,Joey Cantillo,CLE,40,19,5,0,0,125,7,9,107,15,54,49,131,0,0,0,3.89,1.25,9.43,3.53,2.67,1.08
13775,Matt Carasiti,FA,0,0,0,0,0,1,0,0,1.05,0,0.59,0.51,0.93,0,0,0,5.33,1.56,8.40,4.57,1.84,0.00
16337,Kristian Cardozo,SEA,0,0,0,0,0,1,0,0,1.46,0,1.32,1.07,0.73,0,0,0,11.89,2.53,6.59,9.64,0.68,0.00
17895,Juan Carela,CWS,0,0,0,0,0,1,0,0,1.01,0,0.7,0.66,0.83,0,0,0,6.28,1.68,7.43,5.98,1.24,0.00
16864,Max Carlson,BOS,0,0,0,0,0,1,0,0,1.18,0,0.58,0.43,0.96,0,0,0,5.22,1.60,8.66,3.84,2.25,0.00
14777,Sam Carlson,HOU,0,0,0,0,0,1,0,0,1.15,0,0.76,0.76,0.95,0,0,0,6.85,1.91,8.51,6.85,1.24,0.00
12697,Ryan Carpenter,FA,0,0,0,0,0,1,0,0,1.56,0,1.34,0.71,0.61,0,0,0,12.05,2.27,5.49,6.41,0.86,0.00
19839,Michael Carpenter,MIN,0,0,0,0,0,1,0,0,1.56,0,1.02,0.83,0.75,0,0,0,9.14,2.39,6.77,7.44,0.91,0.00
18873,Kyle Carr,NYY,0,0,0,0,0,1,0,0,1,0,0.6,0.71,0.69,0,0,0,5.40,1.71,6.25,6.43,0.97,0.00
9449,Carlos Carrasco,ATL,12,5,0,0,0,32,2,2,36,7,21,11,25,1,0,0,5.91,1.47,7.03,3.09,2.27,1.97
16717,Burl Carraway,FA,0,0,0,0,0,1,0,0,0.94,0,0.63,0.78,0.93,0,0,0,5.65,1.72,8.35,7.00,1.19,0.00
19764,Nicolas Carreno,NYM,0,0,0,0,0,1,0,0,1.11,0,0.9,0.86,0.86,0,0,0,8.10,1.97,7.76,7.76,1.00,0.00
20521,Jesus Carrera,HOU,0,0,0,0,0,1,0,0,1.05,0,0.65,0.51,0.92,0,0,0,5.81,1.55,8.31,4.57,1.82,0.00
